"",BatterTeam,RoadTeam,HomeTeam,SP,p_throws,Pitches,AB,PA,Outs,Hits,HR,BB,K,xBA,xwOBA,wOBA,RunExp,RA,FIP,xFIP,K%,BB%,K-BB%,Pitches5,Outs5,Outs10,xBA5,xBA10,xwOBA5,xwOBA10,wOBA5,wOBA10,RA5,RA10,FIP5,FIP10,xFIP5,xFIP10,K%5,K%10,BB%5,BB%10,K-BB%5,K-BB%10,Ball%5,Strike%5,CS%5,CS%10,Whiff%5,Whiff%10,CSW%5,CSW%10,bxBA5,bxBA10,bxwOBA5,bxwOBA10,bwOBA5,bwOBA10,bRS5,bRS10,bFIP5,bFIP10,bxFIP5,bxFIP10,bK%5,bK%10,bBB%5,bBB%10,bK-BB%5,bK-BB%10,bBall%5,bStrike%5,bCS%5,bCS%10,bWhiff%5,bWhiff%10,bCSW%5,bCSW%10
0,ATL,CIN,ATL,Tyler Mahle,R,84,20,18,15,3,0,2,7,0.195700,0.300224,0.205000,-0.028863,1,1.537000,2.319260,35.00,10.00,25.00,84.0,15.0,15.0,0.195700,0.195700,0.300224,0.300224,0.205000,0.205000,1.800000,1.800000,1.537000,1.537000,2.319260,2.319260,35.00,35.00,10.00,10.00,25.00,25.00,39.29,46.43,19.05,19.05,15.48,15.48,34.52,34.52,0.194333,0.194333,0.191667,0.191667,0.000000,0.000000,0.000000,0.000000,-0.863000,-0.863000,-0.863000,-0.863000,66.67,66.67,0.00,0.00,66.67,66.67,20.00,73.33,13.33,13.33,40.00,40.00,53.33,53.33
1,AZ,SD,AZ,Yu Darvish,R,92,22,17,18,0,0,4,3,0.068500,0.208817,0.127273,-0.040531,0,4.137000,5.658062,13.64,18.18,-4.54,92.0,18.0,18.0,0.068500,0.068500,0.208817,0.208817,0.127273,0.127273,0.000000,0.000000,4.137000,4.137000,5.658062,5.658062,13.64,13.64,18.18,18.18,-4.54,-4.54,44.57,39.13,17.39,17.39,10.87,10.87,28.26,28.26,0.169121,0.169121,0.323719,0.323719,0.248485,0.248485,3.375000,3.375000,3.887000,3.887000,2.913884,2.913884,33.33,33.33,15.15,15.15,18.18,18.18,41.26,46.15,16.78,16.78,15.38,15.38,32.17,32.17
2,CHC,MIL,CHC,Corbin Burnes,R,83,22,16,15,4,1,3,4,0.146955,0.264511,0.325000,-0.020852,3,5.937000,5.162274,18.18,13.64,4.54,83.0,15.0,15.0,0.146955,0.146955,0.264511,0.264511,0.325000,0.325000,5.400000,5.400000,5.937000,5.937000,5.162274,5.162274,18.18,18.18,13.64,13.64,4.54,4.54,42.17,40.96,18.07,18.07,13.25,13.25,31.33,31.33,0.297000,0.297000,0.270000,0.270000,0.600000,0.600000,0.000000,0.000000,3.137000,3.137000,3.137000,3.137000,0.00,0.00,0.00,0.00,0.00,0.00,40.00,30.00,10.00,10.00,10.00,10.00,20.00,20.00
3,CIN,CIN,ATL,Max Fried,L,84,26,23,17,8,0,1,5,0.268192,0.330652,0.330769,0.016518,3,2.431118,3.581501,19.23,3.85,15.38,84.0,17.0,17.0,0.268192,0.268192,0.330652,0.330652,0.330769,0.330769,4.764706,4.764706,2.431118,2.431118,3.581501,3.581501,19.23,19.23,3.85,3.85,15.38,15.38,33.33,44.05,16.67,16.67,11.90,11.90,28.57,28.57,0.059387,0.059387,0.258594,0.258594,0.245161,0.245161,4.909091,4.909091,6.546091,6.546091,6.195655,6.195655,19.35,19.35,22.58,22.58,-3.23,-3.23,48.12,39.10,16.54,16.54,9.02,9.02,25.56,25.56
4,CLE,CLE,KC,Zack Greinke,R,84,22,20,17,5,0,1,1,0.334136,0.398761,0.252273,-0.038159,1,3.313471,4.003700,4.55,4.55,0.00,84.0,17.0,17.0,0.334136,0.334136,0.398761,0.398761,0.252273,0.252273,1.588235,1.588235,3.313471,3.313471,4.003700,4.003700,4.55,4.55,4.55,4.55,0.00,0.00,33.33,42.86,22.62,22.62,5.95,5.95,28.57,28.57,0.220125,0.220125,0.298843,0.298843,0.468750,0.468750,0.000000,0.000000,3.737000,3.737000,3.737000,3.737000,12.50,12.50,12.50,12.50,0.00,0.00,39.02,46.34,12.20,12.20,12.20,12.20,24.39,24.39
5,HOU,HOU,LAA,Shohei Ohtani,R,80,19,17,14,4,0,1,9,0.185895,0.248987,0.263158,-0.007306,1,-0.077286,0.202093,47.37,5.26,42.11,80.0,14.0,14.0,0.185895,0.185895,0.248987,0.248987,0.263158,0.263158,1.928571,1.928571,-0.077286,-0.077286,0.202093,0.202093,47.37,47.37,5.26,5.26,42.11,42.11,36.25,52.50,23.75,23.75,17.50,17.50,41.25,41.25,0.152179,0.152179,0.287766,0.287766,0.325000,0.325000,7.105263,7.105263,5.189632,5.189632,4.989722,4.989722,21.43,21.43,10.71,10.71,10.72,10.72,42.73,41.82,20.91,20.91,11.82,11.82,32.73,32.73
6,KC,CLE,KC,Shane Bieber,R,71,18,18,14,2,0,0,4,0.182889,0.261556,0.219444,-0.017351,1,1.422714,3.098987,22.22,0.00,22.22,71.0,14.0,14.0,0.182889,0.182889,0.261556,0.261556,0.219444,0.219444,1.928571,1.928571,1.422714,1.422714,3.098987,3.098987,22.22,22.22,0.00,0.00,22.22,22.22,33.80,46.48,18.31,18.31,14.08,14.08,32.39,32.39,0.268192,0.268192,0.330652,0.330652,0.330769,0.330769,4.764706,4.764706,2.431118,2.431118,3.581501,3.581501,19.23,19.23,3.85,3.85,15.38,15.38,33.33,44.05,16.67,16.67,11.90,11.90,28.57,28.57
7,LAA,HOU,LAA,Framber Valdez,L,84,22,20,20,2,0,1,6,0.117091,0.145761,0.154545,-0.051113,0,1.787000,1.787000,27.27,4.55,22.72,84.0,20.0,20.0,0.117091,0.117091,0.145761,0.145761,0.154545,0.154545,0.000000,0.000000,1.787000,1.787000,1.787000,1.787000,27.27,27.27,4.55,4.55,22.72,22.72,35.71,46.43,20.24,20.24,13.10,13.10,33.33,33.33,0.063333,0.063333,0.082333,0.082333,0.241667,0.241667,8.100000,8.100000,2.237000,2.237000,-0.880740,-0.880740,66.67,66.67,0.00,0.00,66.67,66.67,34.48,58.62,12.07,12.07,24.14,24.14,36.21,36.21
8,MIL,MIL,CHC,Kyle Hendricks,R,83,24,20,16,5,0,3,7,0.201625,0.322977,0.318750,-0.043393,1,2.762000,3.006456,29.17,12.50,16.67,83.0,16.0,16.0,0.201625,0.201625,0.322977,0.322977,0.318750,0.318750,1.687500,1.687500,2.762000,2.762000,3.006456,3.006456,29.17,29.17,12.50,12.50,16.67,16.67,38.55,45.78,16.87,16.87,20.48,20.48,37.35,37.35,0.021800,0.021800,0.295298,0.295298,0.280000,0.280000,0.000000,0.000000,7.137000,7.137000,7.137000,7.137000,20.00,20.00,40.00,40.00,-20.00,-20.00,51.85,40.74,22.22,22.22,11.11,11.11,33.33,33.33
9,NYM,NYM,WSH,Patrick Corbin,L,76,18,15,10,5,0,2,4,0.213722,0.324261,0.386111,0.029478,1,3.437000,3.828130,22.22,11.11,11.11,76.0,10.0,10.0,0.213722,0.213722,0.324261,0.324261,0.386111,0.386111,2.700000,2.700000,3.437000,3.437000,3.828130,3.828130,22.22,22.22,11.11,11.11,11.11,11.11,42.11,42.11,19.74,19.74,7.89,7.89,27.63,27.63,0.276125,0.276125,0.338921,0.338921,0.251563,0.251563,1.125000,1.125000,2.887000,2.887000,3.701855,3.701855,12.50,12.50,6.25,6.25,6.25,6.25,32.80,46.40,20.00,20.00,7.20,7.20,27.20,27.20
