fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,open_hours_used,game_date,pitcher_id,pitcher_name,team,opponent
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,draftkings,DraftKings,2025-03-27T06:58:57Z,outs,pitcher_outs,Freddy Peralta,15.5,120,-165,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158,147
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,draftkings,DraftKings,2025-03-27T06:58:57Z,outs,pitcher_outs,Carlos Rodon,14.5,-175,130,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147,158
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betmgm,BetMGM,2025-03-27T06:58:57Z,outs,pitcher_outs,Freddy Peralta,15.5,120,-165,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158,147
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,bovada,Bovada,2025-03-27T06:58:57Z,outs,pitcher_outs,Carlos Rodon,14.5,-180,140,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147,158
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,bovada,Bovada,2025-03-27T06:58:57Z,outs,pitcher_outs,Freddy Peralta,15.5,125,-165,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158,147
2025-03-27T07:05:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,draftkings,DraftKings,2025-03-27T07:04:56Z,outs,pitcher_outs,Jose Berrios,15.5,-125,-110,open,2025-03-27T07:07:00Z,2025-03-27T07:05:39Z,12.0,2025-03-27,621244,José Berríos,141,110
2025-03-27T07:05:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,betmgm,BetMGM,2025-03-27T07:04:57Z,outs,pitcher_outs,Jose Berrios,15.5,-125,-110,open,2025-03-27T07:07:00Z,2025-03-27T07:05:39Z,12.0,2025-03-27,621244,José Berríos,141,110
2025-03-27T07:05:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,bovada,Bovada,2025-03-27T07:04:56Z,outs,pitcher_outs,Jose Berrios,15.5,-105,-135,open,2025-03-27T07:07:00Z,2025-03-27T07:05:39Z,12.0,2025-03-27,621244,José Berríos,141,110
2025-03-27T08:00:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,draftkings,DraftKings,2025-03-27T07:58:00Z,outs,pitcher_outs,Nathan Eovaldi,16.5,-135,100,open,2025-03-27T08:05:00Z,2025-03-27T08:00:39Z,12.0,2025-03-27,543135,Nathan Eovaldi,140,111
2025-03-27T08:00:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,draftkings,DraftKings,2025-03-27T07:58:00Z,outs,pitcher_outs,Garrett Crochet,15.5,110,-145,open,2025-03-27T08:05:00Z,2025-03-27T08:00:39Z,12.0,2025-03-27,676979,Garrett Crochet,111,140
2025-03-27T08:00:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,betmgm,BetMGM,2025-03-27T07:59:59Z,outs,pitcher_outs,Garrett Crochet,15.5,105,-150,open,2025-03-27T08:05:00Z,2025-03-27T08:00:39Z,12.0,2025-03-27,676979,Garrett Crochet,111,140
2025-03-27T08:00:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,bovada,Bovada,2025-03-27T07:59:59Z,outs,pitcher_outs,Garrett Crochet,15.5,110,-150,open,2025-03-27T08:05:00Z,2025-03-27T08:00:39Z,12.0,2025-03-27,676979,Garrett Crochet,111,140
2025-03-27T08:00:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,bovada,Bovada,2025-03-27T07:59:59Z,outs,pitcher_outs,Nathan Eovaldi,16.5,-125,-115,open,2025-03-27T08:05:00Z,2025-03-27T08:00:39Z,12.0,2025-03-27,543135,Nathan Eovaldi,140,111
