fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,open_hours_used,game_date,pitcher_id,pitcher_name,team,opponent
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,draftkings,DraftKings,2025-03-27T06:58:57Z,strikeouts,pitcher_strikeouts,Freddy Peralta,5.5,-160,125,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158.0,147.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,draftkings,DraftKings,2025-03-27T06:58:57Z,strikeouts,pitcher_strikeouts,Carlos Rodon,5.5,-150,115,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147.0,158.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betmgm,BetMGM,2025-03-27T06:58:57Z,strikeouts,pitcher_strikeouts,Freddy Peralta,5.5,-160,125,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158.0,147.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,bovada,Bovada,2025-03-27T06:58:57Z,strikeouts,pitcher_strikeouts,Carlos Rodon,5.5,-145,110,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147.0,158.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,bovada,Bovada,2025-03-27T06:58:57Z,strikeouts,pitcher_strikeouts,Freddy Peralta,5.5,-165,125,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158.0,147.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,fanatics,Fanatics,2025-03-27T06:58:58Z,strikeouts,pitcher_strikeouts,Freddy Peralta,6.5,120,-160,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158.0,147.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,fanatics,Fanatics,2025-03-27T06:58:58Z,strikeouts,pitcher_strikeouts,Carlos Rodon,6.5,120,-160,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147.0,158.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betonlineag,BetOnline.ag,2025-03-27T06:58:56Z,strikeouts,pitcher_strikeouts,Carlos Rodon,5.5,-147,113,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147.0,158.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betonlineag,BetOnline.ag,2025-03-27T06:58:56Z,strikeouts,pitcher_strikeouts,Freddy Peralta,5.5,-161,123,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,642547,Freddy Peralta,158.0,147.0
2025-03-27T07:00:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betrivers,BetRivers,2025-03-27T06:58:58Z,strikeouts,pitcher_strikeouts,Carlos Rodon,7.5,300,-455,open,2025-03-27T07:05:00Z,2025-03-27T07:00:39Z,12.0,2025-03-27,607074,Carlos Rodón,147.0,158.0
